,GeneNames,log2FC,p-value
0,LOC_Os09g01000.1,-1.88653936,1.2499999999999999e-55
1,LOC_Os12g42876.1,3.231610951,1.0499999999999999e-55
2,LOC_Os12g42884.2,3.179004295,2.5899999999999997e-54
3,LOC_Os03g16920.1,5.290677161,4.6899999999999994e-54
4,LOC_Os05g47540.4,4.096861539,2.19e-54
5,LOC_Os09g00999.1,-1.839222372,1.9499999999999998e-54
6,LOC_Os01g62900.1,5.592457037,1.5599999999999998e-54
7,LOC_Os09g27030.2,1.637429921,1.36e-54
8,LOC_Os01g51410.2,3.354349573,6.76e-54
9,LOC_Os12g33946.1,2.118284018,1.03e-53
10,LOC_Os06g50300.1,1.929064093,1.71e-53
11,LOC_Os04g37619.2,3.836501268,9.62e-53
12,LOC_Os08g39140.3,2.900866808,9.89e-51
13,LOC_Os03g03720.1,-1.764668523,5.45e-41
14,LOC_Os01g62290.1,2.95419631,1.45e-40
15,LOC_Os02g02400.3,-2.236574037,1.85e-40
16,LOC_Os08g09200.1,1.817135943,6.8299999999999994e-40
17,LOC_Os01g50030.1,2.932885804,2.26e-36
18,LOC_Os09g29840.2,2.287162677,2.36e-35
19,LOC_Os05g47540.1,4.832890014,9.23e-35
20,LOC_Os02g02410.1,2.833990049,1.7099999999999998e-34
21,LOC_Os12g19381.1,-2.339575961,1.8e-32
22,LOC_Os03g60080.1,3.447458977,6.22e-30
23,LOC_Os06g40940.3,2.565597176,8.86e-29
24,LOC_Os12g17600.1,-2.133125083,2.3e-28
25,LOC_Os11g05050.1,0.823553279,6.32e-28
26,LOC_Os05g39250.1,5.392317423,4.53e-27
27,LOC_Os02g33710.1,2.051838932,1.25e-26
28,LOC_Os03g17870.1,3.308752706,1.39e-26
29,LOC_Os03g51600.1,-2.637429921,2.13e-26
30,LOC_Os05g33960.1,3.969626351,6.46e-26
31,LOC_Os04g38600.3,-2.547487795,1.19e-25
32,LOC_Os08g41390.2,3.762500686,1.8e-25
33,LOC_Os01g57960.1,-1.561739544,8.18e-25
34,LOC_Os01g22010.2,2.724892762,1.06e-24
35,LOC_Os05g02530.1,1.973364873,3.12e-24
36,LOC_Os12g23200.1,-2.131244533,5.82e-24
37,LOC_Os04g47220.1,2.634715536,9.47e-24
38,LOC_Os09g26880.3,2.706953025,6.989999999999999e-23
39,LOC_Os11g26850.2,1.84434913,2.42e-22
40,LOC_Os04g32950.2,1.569855608,2.52e-22
41,LOC_Os01g52250.4,0.669458775,1.05e-21
42,LOC_Os01g31690.1,-1.361049853,6.94e-21
43,LOC_Os07g14270.3,1.707218251,7.150000000000001e-21
44,LOC_Os05g38530.1,3.137503524,1.18e-20
45,LOC_Os02g51080.1,-2.654503434,1.42e-20
46,LOC_Os02g27030.1,0.981016897,1.41e-20
47,LOC_Os12g08770.1,-2.390459477,2.85e-20
48,LOC_Os02g39360.1,1.689070904,3.26e-20
49,LOC_Os07g34570.1,0.613817363,4.84e-20
50,LOC_Os01g55540.2,-1.649092838,1.41e-19
51,LOC_Os03g05310.1,3.827819025,1.72e-19
52,LOC_Os03g16020.1,4.06608919,3.39e-19
53,LOC_Os08g32870.1,1.750972452,1.17e-18
54,LOC_Os10g30580.1,1.38827059,1.92e-18
55,LOC_Os02g52390.1,0.989111684,2.63e-18
56,LOC_Os01g49370.1,-1.893912742,4.48e-18
57,LOC_Os11g13890.2,-1.360316924,8.49e-18
58,LOC_Os01g33960.1,-2.584962501,1.57e-17
59,LOC_Os08g38086.4,2.237039197,1.72e-17
60,LOC_Os02g44870.1,2.602036014,3.14e-17
61,LOC_Os03g46770.1,0.234307228,4.6e-17
62,LOC_Os01g08860.2,3.930737338,4.93e-17
63,LOC_Os02g32504.1,3.437405312,1.11e-16
64,LOC_Os03g57340.1,2.769387072,3.06e-16
65,LOC_Os12g44360.2,1.655351829,3.41e-16
66,LOC_Os08g31510.1,1.945552216,6.24e-16
67,LOC_Os09g36220.1,1.632268215,9.46e-16
68,LOC_Os05g44340.1,4.142957954,1.39e-15
69,LOC_Os02g54130.3,2.153805336,2.78e-15
70,LOC_Os05g46040.1,4.614709844,2.86e-15
71,LOC_Os06g43660.3,-1.462734241,4.25e-15
72,LOC_Os01g64660.2,-2.75802721,5.13e-15
73,LOC_Os12g33946.1,-2.06871275,8.25e-15
74,LOC_Os03g51920.1,3.727920455,1.33e-14
75,LOC_Os11g34450.1,1.129283017,1.36e-14
76,LOC_Os09g30412.1,1.476438044,1.45e-14
77,LOC_Os09g30340.1,-2.465122731,2.43e-14
78,LOC_Os06g01850.1,-1.5334322,5.37e-14
79,LOC_Os09g04790.1,2.906890596,7.77e-14
80,LOC_Os06g08080.1,1.165337732,1.15e-13
81,LOC_Os06g23290.3,1.756728849,1.22e-13
82,LOC_Os10g25130.1,-2.380821784,1.6e-13
83,LOC_Os10g32680.3,3.378511623,2.53e-13
84,LOC_Os03g49350.1,-1.89077093,2.75e-13
85,LOC_Os01g09570.1,1.558730959,2.79e-13
86,LOC_Os04g16680.1,-2.112209504,3.3e-13
87,LOC_Os08g17390.1,-3.016301812,4.03e-13
88,LOC_Os11g14220.1,-2.672425342,5.88e-13
89,LOC_Os03g52239.1,-1.852895706,7.91e-13
90,LOC_Os01g59150.1,-3.584962501,1.03e-12
91,LOC_Os11g07020.7,-1.002325053,1.66e-12
92,LOC_Os02g49700.1,-1.648156327,1.79e-12
93,LOC_Os08g05910.1,2.129283017,3.72e-12
94,LOC_Os03g18870.1,3.491853096,4.05e-12
95,LOC_Os02g38340.1,3.491853096,4.05e-12
96,LOC_Os02g54254.2,1.980891177,4.15e-12
97,LOC_Os06g51220.2,-1.721698838,4.39e-12
98,LOC_Os03g60090.1,1.527247003,7.14e-12
99,LOC_Os10g32550.1,1.633872101,7.69e-12
100,LOC_Os02g35190.2,1.192645078,1.04e-11
101,LOC_Os07g36080.3,-1.546488353,1.12e-11
102,LOC_Os10g42790.1,2.087462841,1.19e-11
103,LOC_Os05g14240.2,-2.569855608,1.72e-11
104,LOC_Os06g45820.2,0.409282825,2.11e-11
105,LOC_Os02g32660.1,1.635588574,2.16e-11
106,LOC_Os03g16030.1,5.087462841,2.5e-11
107,LOC_Os10g21190.1,-3.058893689,2.55e-11
108,LOC_Os01g36950.1,2.169925001,3.26e-11
109,LOC_Os06g01210.1,-1.816692787,4.04e-11
110,LOC_Os09g31486.1,2.672425342,4.38e-11
111,LOC_Os02g30180.3,5.044394119,5.44e-11
112,LOC_Os01g01960.1,1.295455884,7.15e-11
